Trial,Learner,Net,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19
1,GREEDY,ds2,0.96,0.93,0.53,0.92,0.86,0.53,0.91,0.51,0.95,0.95,0.84,0.95,0.95,0.94,0.94,0.48,0.9,0.9,0.83,0.44
1,CASGMM,ds2,0.96,0.96,0.96,0.96,0.55,0.97,0.96,0.97,0.98,0.93,0.53,0.95,0.97,0.94,0.94,0.81,0.48,0.44,0.81,0.76
1,CASMOD,ds2,0.96,0.96,0.96,0.96,0.92,0.9,0.93,0.93,0.98,0.48,0.9,0.9,0.52,0.94,0.94,0.96,0.97,0.94,0.91,0.5
1,CASJNK,ds2,0.96,0.93,0.53,0.92,0.86,0.53,0.91,0.51,0.95,0.95,0.84,0.95,0.95,0.94,0.94,0.48,0.9,0.9,0.83,0.44
2,GREEDY,ds2,0.41,0.55,0.96,0.96,0.55,0.9,0.88,0.9,0.51,0.88,0.9,0.9,0.95,0.95,0.94,0.48,0.78,0.91,0.91,0.86
2,CASGMM,ds2,0.92,0.55,0.92,0.92,0.92,0.97,0.97,0.98,0.97,0.95,0.9,0.94,0.95,0.94,0.94,0.96,0.96,0.94,0.91,0.76
2,CASMOD,ds2,0.96,0.96,0.96,0.96,0.92,0.97,0.97,0.51,0.51,0.48,0.9,0.9,0.95,0.95,0.89,0.96,0.96,0.44,0.88,0.95
2,CASJNK,ds2,0.41,0.55,0.96,0.96,0.55,0.9,0.88,0.9,0.51,0.88,0.9,0.9,0.95,0.95,0.94,0.48,0.78,0.91,0.91,0.86
3,GREEDY,ds2,0.57,0.6,0.96,0.96,0.89,0.87,0.93,0.93,0.91,0.87,0.53,0.55,0.95,0.95,0.89,0.48,0.83,0.91,0.91,0.78
3,CASGMM,ds2,0.96,0.97,0.96,0.88,0.9,0.88,0.91,0.9,0.91,0.87,0.9,0.9,0.87,0.9,0.8,0.86,0.9,0.89,0.91,0.44
3,CASMOD,ds2,0.55,0.55,0.9,0.53,0.9,0.88,0.93,0.98,0.98,0.48,0.87,0.95,0.95,0.53,0.84,0.96,0.9,0.9,0.45,0.78
3,CASJNK,ds2,0.57,0.6,0.96,0.96,0.89,0.87,0.93,0.93,0.91,0.87,0.53,0.55,0.95,0.95,0.89,0.48,0.83,0.91,0.91,0.78
4,GREEDY,ds2,0.82,0.92,0.48,0.92,0.92,0.97,0.97,0.51,0.91,0.48,0.5,0.95,0.95,0.53,0.84,0.96,0.95,0.9,0.95,0.95
4,CASGMM,ds2,0.96,0.96,0.53,0.92,0.92,0.87,0.9,0.98,0.98,0.88,0.9,0.9,0.89,0.94,0.94,0.86,0.48,0.86,0.45,0.76
4,CASMOD,ds2,0.96,0.96,0.9,0.88,0.9,0.51,0.52,0.51,0.95,0.95,0.9,0.9,0.52,0.53,0.8,0.95,0.83,0.86,0.83,0.78
4,CASJNK,ds2,0.82,0.92,0.48,0.92,0.92,0.97,0.97,0.51,0.91,0.48,0.5,0.95,0.95,0.53,0.84,0.96,0.95,0.9,0.95,0.95
5,GREEDY,ds2,0.55,0.96,0.96,0.53,0.49,0.9,0.52,0.9,0.95,0.95,0.9,0.94,0.95,0.9,0.89,0.48,0.57,0.86,0.45,0.86
5,CASGMM,ds2,0.96,0.96,0.96,0.96,0.18,0.51,0.52,0.51,0.95,0.95,0.9,0.9,0.89,0.84,0.89,0.95,0.96,0.86,0.83,0.44
5,CASMOD,ds2,0.96,0.96,0.53,0.92,0.92,0.91,0.91,0.98,0.96,0.93,0.9,0.94,0.95,0.9,0.8,0.86,0.83,0.86,0.83,0.44
5,CASJNK,ds2,0.55,0.96,0.96,0.53,0.49,0.9,0.52,0.9,0.95,0.95,0.9,0.94,0.95,0.9,0.89,0.48,0.57,0.86,0.45,0.86
